customer_class,month_1_consumption,month_2_consumption,month_3_consumption,month_4_consumption,month_1_month,month_2_month,month_3_month,month_4_month,avg_consumption,consumption_trend,next_month_consumption
RESIDENT,23.9,20.49,22.54,26.24,5,6,7,8,23.29,0.78,22.89
FACTORY,1605.19,1684.87,1730.96,1346.72,7,8,9,10,1591.94,-86.16,1627.56
RESIDENT,6.7,5.41,4.23,11.6,11,12,1,2,6.98,1.63,7.6
RESIDENT,19.66,22.83,17.4,17.34,3,4,5,6,19.31,-0.77,12.37
ORGANIZATION,195.07,181.95,159.93,162.85,8,9,10,11,174.95,-10.74,165.24
RESIDENT,15.16,13.14,9.5,12.69,8,9,10,11,12.62,-0.82,15.21
RESIDENT,10.65,14.24,4.48,6.59,6,7,8,9,8.99,-1.35,0.5
RESIDENT,3.47,9.21,9.02,11.13,2,3,4,5,8.21,2.55,6.86
FACTORY,1555.37,1729.01,1909.88,2064.26,12,1,2,3,1814.63,169.63,1995.84
RESIDENT,20.61,25.81,25.74,26.5,9,10,11,12,24.66,1.96,18.67
RESIDENT,5.45,2.78,10.89,10.98,12,1,2,3,7.53,1.84,9.91
RESIDENT,26.36,25.04,32.28,22.62,5,6,7,8,26.58,-1.25,20.55
RESIDENT,13.9,19.3,25.13,18.9,2,3,4,5,19.31,1.67,20.19
RESIDENT,20.35,26.96,25.58,28.88,2,3,4,5,25.44,2.84,26.41
RESIDENT,16.43,30.37,22.52,29.29,3,4,5,6,24.65,4.29,18.01
FACTORY,671.2,579.77,639.05,503.07,7,8,9,10,598.27,-56.04,525.91
ORGANIZATION,198.0,172.94,158.41,174.05,4,5,6,7,175.85,-7.98,163.48
PUBLIC_SERVICE,15.19,35.3,27.52,39.19,11,12,1,2,29.3,8.0,54.78
RESIDENT,16.04,23.28,25.98,25.23,1,2,3,4,22.63,3.06,28.43
RESIDENT,38.79,39.47,44.69,46.05,3,4,5,6,42.25,2.42,39.22
GOVERNMENT,285.23,223.6,193.79,164.77,7,8,9,10,216.85,-40.15,178.22
RESIDENT,19.85,9.92,8.96,13.09,6,7,8,9,12.96,-2.25,6.8
ORGANIZATION,150.97,164.89,150.07,126.87,10,11,12,1,148.2,-8.03,136.52
RESIDENT,32.98,34.22,38.13,37.96,3,4,5,6,35.82,1.66,36.23
ORGANIZATION,69.28,24.69,25.31,38.11,7,8,9,10,39.35,-10.39,31.59
PUBLIC_SERVICE,109.29,92.19,94.28,124.77,10,11,12,1,105.13,5.16,120.16
RESIDENT,7.6,4.51,10.3,10.37,12,1,2,3,8.2,0.92,14.62
PUBLIC_SERVICE,55.04,49.47,53.44,44.15,9,10,11,12,50.52,-3.63,56.65
ORGANIZATION,120.44,181.24,101.73,127.56,2,3,4,5,132.74,2.37,123.17
RESIDENT,16.15,16.46,15.38,33.31,11,12,1,2,20.33,5.72,24.82
FACTORY,1460.3,1461.36,1355.61,1531.47,10,11,12,1,1452.18,23.72,1402.41
RESIDENT,19.26,18.17,18.17,20.45,11,12,1,2,19.01,0.4,23.21
RESIDENT,22.91,21.58,17.29,18.44,7,8,9,10,20.05,-1.49,19.87
RESIDENT,38.16,36.49,28.41,29.84,6,7,8,9,33.23,-2.77,30.57
ORGANIZATION,95.85,127.28,89.45,63.79,6,7,8,9,94.09,-10.69,90.27
RESIDENT,23.65,30.26,30.49,31.22,2,3,4,5,28.9,2.52,34.57
ORGANIZATION,75.22,85.38,97.85,95.43,4,5,6,7,88.47,6.74,78.65
RESIDENT,19.23,20.43,23.01,19.76,2,3,4,5,20.61,0.18,21.94
RESIDENT,24.95,38.66,27.08,31.23,11,12,1,2,30.48,2.09,32.11
RESIDENT,13.4,17.59,15.73,10.73,6,7,8,9,14.36,-0.89,6.12
RESIDENT,10.21,11.94,23.15,21.48,1,2,3,4,16.7,3.76,20.15
RESIDENT,35.43,35.88,31.59,29.84,6,7,8,9,33.19,-1.86,26.05
RESIDENT,17.96,6.52,14.48,5.13,6,7,8,9,11.02,-4.28,4.18
RESIDENT,12.83,12.27,20.13,27.59,12,1,2,3,18.21,4.92,19.97
RESIDENT,2.91,0.74,9.54,8.71,11,12,1,2,5.47,1.93,10.37
GOVERNMENT,395.07,375.97,381.19,326.65,6,7,8,9,369.72,-22.81,285.34
RESIDENT,32.01,28.98,44.6,23.93,5,6,7,8,32.38,-2.69,27.64
GOVERNMENT,258.94,194.28,175.96,196.53,8,9,10,11,206.43,-20.8,146.87
RESIDENT,22.96,26.52,26.5,31.87,1,2,3,4,26.96,2.97,30.36
RESIDENT,0.91,13.76,16.71,14.39,1,2,3,4,11.44,4.49,10.41
RESIDENT,24.82,16.15,19.64,19.37,9,10,11,12,20.0,-1.82,16.52
RESIDENT,34.52,26.02,26.25,27.88,8,9,10,11,28.67,-2.21,30.68
ORGANIZATION,85.4,60.27,74.45,52.85,9,10,11,12,68.24,-10.85,87.42
RESIDENT,26.02,19.4,14.86,13.49,8,9,10,11,18.44,-4.18,15.08
RESIDENT,13.58,17.71,12.98,17.12,11,12,1,2,15.35,1.18,21.12
ORGANIZATION,146.66,137.19,171.1,248.61,11,12,1,2,175.89,33.98,159.81
RESIDENT,12.77,15.79,16.52,9.42,4,5,6,7,13.62,-1.12,9.12
RESIDENT,9.06,0.5,12.78,9.28,1,2,3,4,7.9,0.07,16.92
ORGANIZATION,140.76,204.84,130.15,143.57,10,11,12,1,154.83,0.94,153.71
RESIDENT,6.05,10.4,11.11,12.45,9,10,11,12,10.0,2.13,13.04
RESIDENT,19.83,14.02,10.33,9.74,4,5,6,7,13.48,-3.36,10.23
ORGANIZATION,159.89,155.31,179.31,163.74,3,4,5,6,164.56,1.28,146.21
GOVERNMENT,311.64,377.0,423.82,351.28,3,4,5,6,365.94,13.21,348.48
RESIDENT,15.59,19.48,24.03,23.3,2,3,4,5,20.6,2.57,22.13
RESIDENT,26.67,17.97,28.26,22.49,11,12,1,2,23.85,-1.39,28.97
RESIDENT,27.24,29.1,32.79,33.4,3,4,5,6,30.63,2.05,31.15
RESIDENT,18.95,22.52,22.71,30.23,11,12,1,2,23.6,3.76,30.58
PUBLIC_SERVICE,29.1,17.34,67.53,47.13,11,12,1,2,40.27,6.01,43.79
RESIDENT,11.3,7.16,9.24,2.79,7,8,9,10,7.62,-2.84,0.5
RESIDENT,11.71,11.56,13.77,12.86,11,12,1,2,12.48,0.38,26.31
RESIDENT,6.26,4.05,5.61,0.5,9,10,11,12,4.1,-1.92,1.83
FACTORY,913.42,754.15,808.49,816.59,8,9,10,11,823.16,-32.28,778.81
GOVERNMENT,170.81,205.04,184.78,255.04,1,2,3,4,203.92,28.08,279.1
RESIDENT,25.67,24.76,30.23,24.27,11,12,1,2,26.23,-0.47,35.35
RESIDENT,29.98,19.84,18.7,32.89,12,1,2,3,25.35,0.97,28.77
ORGANIZATION,136.28,132.34,114.48,111.85,7,8,9,10,123.74,-8.14,142.81
RESIDENT,31.87,34.42,42.34,35.77,2,3,4,5,36.1,1.3,35.04
ORGANIZATION,126.56,84.62,45.7,84.17,8,9,10,11,85.26,-14.13,86.66
ORGANIZATION,132.44,119.14,104.97,105.24,4,5,6,7,115.45,-9.07,113.34
RESIDENT,14.02,12.3,2.48,2.97,7,8,9,10,7.94,-3.68,5.89
RESIDENT,9.27,16.51,10.59,14.06,6,7,8,9,12.61,1.6,9.75
RESIDENT,34.32,27.35,33.33,36.82,3,4,5,6,32.95,0.83,28.66
ORGANIZATION,157.41,160.4,169.16,174.31,1,2,3,4,165.32,5.63,189.82
FACTORY,1596.76,1570.27,1670.5,1721.33,8,9,10,11,1639.71,41.52,1589.76
RESIDENT,5.25,0.54,4.28,0.5,9,10,11,12,2.64,-1.58,6.85
ORGANIZATION,116.7,105.39,103.04,58.67,6,7,8,9,95.95,-19.34,83.26
FACTORY,671.56,792.2,913.31,1370.89,12,1,2,3,936.99,233.11,1056.97
PUBLIC_SERVICE,48.94,58.15,74.73,64.48,2,3,4,5,61.58,5.18,86.3
RESIDENT,25.98,31.38,29.78,29.61,2,3,4,5,29.19,1.21,30.75
FACTORY,713.72,798.01,860.19,631.04,9,10,11,12,750.74,-27.56,1322.32
RESIDENT,7.12,4.14,0.5,8.71,9,10,11,12,5.12,0.53,5.31
ORGANIZATION,148.18,139.75,117.73,142.62,6,7,8,9,137.07,-1.85,120.11
FACTORY,663.9,711.51,674.89,836.53,5,6,7,8,721.71,57.54,554.57
PUBLIC_SERVICE,66.31,38.19,77.92,48.63,9,10,11,12,57.76,-5.89,70.88
PUBLIC_SERVICE,18.88,3.53,26.78,29.0,10,11,12,1,19.55,3.37,49.27
GOVERNMENT,149.63,212.95,209.6,187.91,10,11,12,1,190.02,12.76,208.09
RESIDENT,17.55,23.3,9.64,13.38,6,7,8,9,15.97,-1.39,20.31
RESIDENT,10.73,10.19,16.99,14.36,11,12,1,2,13.07,1.21,22.55
RESIDENT,20.52,22.14,28.68,30.77,1,2,3,4,25.53,3.42,29.64
RESIDENT,27.14,21.69,16.74,8.28,7,8,9,10,18.46,-6.29,18.62
RESIDENT,8.39,8.42,13.25,2.03,8,9,10,11,8.02,-2.12,7.86
RESIDENT,27.16,23.12,19.77,20.11,6,7,8,9,22.54,-2.35,23.57
RESIDENT,14.78,18.07,16.47,13.18,8,9,10,11,15.62,-0.53,17.31
FACTORY,2855.29,1816.62,1973.26,2012.83,1,2,3,4,2164.5,-280.82,2118.86
GOVERNMENT,363.88,367.4,534.4,287.71,8,9,10,11,388.35,-25.39,520.05
RESIDENT,13.1,18.55,13.68,9.95,8,9,10,11,13.82,-1.05,10.78
RESIDENT,12.05,14.67,3.55,5.17,7,8,9,10,8.86,-2.29,0.5
RESIDENT,19.62,10.34,10.24,6.71,7,8,9,10,11.73,-4.3,1.33
PUBLIC_SERVICE,120.56,128.27,116.18,123.27,9,10,11,12,122.07,0.9,140.42
ORGANIZATION,74.51,104.65,84.79,65.58,4,5,6,7,82.38,-2.98,74.48
RESIDENT,28.2,29.16,38.53,34.3,11,12,1,2,32.55,2.03,38.67
PUBLIC_SERVICE,95.22,121.58,106.17,147.85,1,2,3,4,117.71,17.54,97.96
RESIDENT,25.6,26.81,27.4,37.87,1,2,3,4,29.42,4.09,30.99
RESIDENT,36.91,39.49,37.76,42.97,3,4,5,6,39.28,2.02,36.94
GOVERNMENT,261.73,180.34,131.05,175.52,7,8,9,10,187.16,-28.74,101.28
RESIDENT,14.33,18.08,9.82,12.19,4,5,6,7,13.6,-0.71,9.77
RESIDENT,13.18,12.42,12.03,9.98,4,5,6,7,11.9,-1.07,5.8
RESIDENT,24.81,22.17,29.05,32.87,12,1,2,3,27.23,2.69,28.22
RESIDENT,18.29,13.9,18.82,18.54,3,4,5,6,17.39,0.08,15.47
RESIDENT,17.96,29.41,35.71,27.66,1,2,3,4,27.69,3.23,26.05
RESIDENT,13.04,19.91,17.6,26.84,9,10,11,12,19.35,4.6,19.45
PUBLIC_SERVICE,164.92,162.15,155.55,163.63,4,5,6,7,161.56,-0.43,152.44
RESIDENT,29.2,38.23,37.36,39.57,11,12,1,2,36.09,3.46,40.02
GOVERNMENT,555.1,542.07,534.77,557.36,3,4,5,6,547.33,0.75,574.2
GOVERNMENT,637.76,456.25,441.85,423.9,7,8,9,10,489.94,-71.29,419.83
ORGANIZATION,170.43,152.7,178.9,190.81,12,1,2,3,173.21,6.79,210.48
RESIDENT,15.06,15.97,19.97,18.78,10,11,12,1,17.45,1.24,20.72
RESIDENT,27.4,19.07,27.74,26.85,10,11,12,1,25.27,-0.18,25.85
RESIDENT,6.25,11.22,7.82,5.17,5,6,7,8,7.62,-0.36,0.93
PUBLIC_SERVICE,104.2,129.2,131.7,128.16,10,11,12,1,123.31,7.99,136.26
RESIDENT,11.38,12.62,18.37,19.99,12,1,2,3,15.59,2.87,15.75
RESIDENT,20.35,22.4,27.05,31.69,12,1,2,3,25.37,3.78,24.29
RESIDENT,30.04,26.67,24.25,26.95,4,5,6,7,26.98,-1.03,23.48
RESIDENT,21.67,16.92,18.25,16.0,8,9,10,11,18.21,-1.89,15.27
ORGANIZATION,73.79,8.17,36.2,76.43,9,10,11,12,48.65,0.88,42.57
RESIDENT,17.62,17.23,20.33,24.98,12,1,2,3,20.04,2.45,24.4
RESIDENT,11.68,18.48,16.24,14.79,4,5,6,7,15.3,1.04,11.54
RESIDENT,6.56,0.5,0.5,7.64,8,9,10,11,3.8,0.36,3.33
PUBLIC_SERVICE,29.31,17.23,11.44,22.14,9,10,11,12,20.03,-2.39,37.72
FACTORY,1698.5,1400.23,1638.76,1557.35,7,8,9,10,1573.71,-47.05,1594.82
RESIDENT,7.34,7.6,16.58,19.29,1,2,3,4,12.7,3.98,19.46
RESIDENT,36.69,31.43,30.45,33.93,7,8,9,10,33.12,-0.92,35.88
ORGANIZATION,68.71,73.05,82.05,91.28,1,2,3,4,78.77,7.52,95.65
RESIDENT,17.88,18.72,21.71,22.54,2,3,4,5,20.21,1.55,23.39
RESIDENT,29.64,38.23,40.48,36.36,3,4,5,6,36.18,2.24,39.15
RESIDENT,6.45,7.76,17.67,19.54,10,11,12,1,12.86,4.36,13.44
FACTORY,2152.76,1398.55,1493.49,1215.63,9,10,11,12,1565.11,-312.38,1421.9
FACTORY,468.06,509.4,722.97,689.2,1,2,3,4,597.41,73.71,1124.34
FACTORY,302.38,554.52,401.12,511.71,10,11,12,1,442.43,69.78,767.7
ORGANIZATION,125.44,114.62,90.93,159.96,6,7,8,9,122.74,11.51,91.52
GOVERNMENT,207.66,198.88,161.66,121.58,6,7,8,9,172.44,-28.69,106.5
RESIDENT,2.32,8.18,8.64,12.62,3,4,5,6,7.94,3.43,3.8
PUBLIC_SERVICE,42.33,66.01,37.25,37.02,9,10,11,12,45.65,-1.77,39.79
RESIDENT,13.06,21.31,17.97,17.92,3,4,5,6,17.56,1.62,26.45
RESIDENT,27.89,23.77,19.74,14.71,4,5,6,7,21.53,-4.39,13.48
PUBLIC_SERVICE,35.89,55.25,50.2,67.65,12,1,2,3,52.25,10.59,46.37
ORGANIZATION,58.0,71.0,130.26,91.31,10,11,12,1,87.64,11.1,123.36
PUBLIC_SERVICE,94.32,102.93,130.42,121.89,1,2,3,4,112.39,9.19,101.59
RESIDENT,30.5,35.88,34.19,28.5,2,3,4,5,32.27,-0.67,40.42
PUBLIC_SERVICE,45.35,35.04,50.21,19.18,7,8,9,10,37.45,-8.72,30.2
RESIDENT,32.88,35.79,27.28,29.25,6,7,8,9,31.3,-1.21,24.35
RESIDENT,6.52,5.95,2.56,16.88,2,3,4,5,7.98,3.45,4.52
RESIDENT,18.93,25.58,18.57,9.86,6,7,8,9,18.23,-3.02,8.73
RESIDENT,23.1,22.1,26.13,27.8,1,2,3,4,24.78,1.57,32.41
RESIDENT,22.42,31.22,29.64,38.23,1,2,3,4,30.38,5.27,40.48
ORGANIZATION,194.24,99.53,127.84,115.06,8,9,10,11,134.17,-26.39,109.04
PUBLIC_SERVICE,124.82,97.57,116.57,98.53,8,9,10,11,109.37,-8.76,98.91
RESIDENT,3.08,2.86,0.74,4.37,9,10,11,12,2.76,0.43,4.23
PUBLIC_SERVICE,108.94,104.4,145.37,125.57,5,6,7,8,121.07,5.54,73.14
GOVERNMENT,155.41,114.09,229.37,92.97,7,8,9,10,147.96,-20.81,121.16
PUBLIC_SERVICE,115.78,121.2,115.11,156.52,11,12,1,2,127.15,13.58,146.41
RESIDENT,4.45,0.57,3.69,7.02,11,12,1,2,3.93,0.86,9.92
RESIDENT,47.64,29.29,32.07,30.2,11,12,1,2,34.8,-5.81,33.74
PUBLIC_SERVICE,148.86,127.55,130.35,107.21,5,6,7,8,128.49,-13.88,110.75
RESIDENT,36.78,33.05,27.86,30.84,3,4,5,6,32.13,-1.98,30.04
PUBLIC_SERVICE,175.06,143.1,143.57,118.68,5,6,7,8,145.1,-18.79,140.59
FACTORY,1491.69,1099.04,1322.55,1304.35,9,10,11,12,1304.41,-62.45,1098.82
GOVERNMENT,278.36,338.64,346.09,248.07,3,4,5,6,302.79,-10.1,324.17
GOVERNMENT,443.3,457.43,438.02,539.2,11,12,1,2,469.49,31.97,546.93
RESIDENT,11.99,13.3,10.62,5.6,10,11,12,1,10.38,-2.13,16.23
RESIDENT,5.55,9.89,12.34,11.88,1,2,3,4,9.92,2.11,15.04
ORGANIZATION,76.06,77.98,67.31,61.87,7,8,9,10,70.81,-4.73,55.98
ORGANIZATION,97.27,115.8,76.55,117.32,9,10,11,12,101.73,6.68,110.83
RESIDENT,35.54,32.42,30.68,24.96,6,7,8,9,30.9,-3.53,23.78
ORGANIZATION,132.41,151.33,146.22,114.05,4,5,6,7,136.0,-6.12,144.44
RESIDENT,10.25,13.81,6.52,14.55,5,6,7,8,11.28,1.43,2.52
ORGANIZATION,87.46,69.05,118.85,117.85,1,2,3,4,98.3,10.13,167.02
RESIDENT,16.57,25.2,16.46,19.32,8,9,10,11,19.39,0.92,8.25
RESIDENT,21.08,17.09,16.42,14.48,6,7,8,9,17.27,-2.2,18.18
RESIDENT,17.38,23.72,20.03,30.7,3,4,5,6,22.96,4.44,17.88
RESIDENT,31.81,37.1,35.82,27.74,6,7,8,9,33.12,-1.36,30.31
FACTORY,1368.76,1265.32,1501.17,1411.19,12,1,2,3,1386.61,14.14,1364.43
RESIDENT,31.58,33.12,39.46,31.74,3,4,5,6,33.98,0.05,31.92
ORGANIZATION,143.74,187.51,178.73,201.9,1,2,3,4,177.97,19.39,214.91
RESIDENT,18.38,25.18,25.71,30.34,1,2,3,4,24.9,3.99,30.4
GOVERNMENT,75.96,27.44,68.18,74.64,10,11,12,1,61.55,-0.44,100.83
PUBLIC_SERVICE,117.69,135.39,123.87,151.07,1,2,3,4,132.0,11.13,146.91
RESIDENT,40.79,38.28,34.07,33.66,6,7,8,9,36.7,-2.38,30.17
GOVERNMENT,246.41,266.78,203.4,204.53,5,6,7,8,230.28,-13.96,200.0
RESIDENT,15.27,29.05,15.17,12.97,6,7,8,9,18.12,-0.77,17.38
RESIDENT,32.68,23.57,18.55,25.32,6,7,8,9,25.03,-2.45,19.93
RESIDENT,21.6,16.75,21.06,15.18,5,6,7,8,18.65,-2.14,8.67
RESIDENT,19.72,22.84,29.1,31.75,2,3,4,5,25.85,4.01,31.49
RESIDENT,20.38,16.14,20.2,10.3,6,7,8,9,16.75,-3.36,14.12
RESIDENT,26.57,35.28,38.01,38.5,1,2,3,4,34.59,3.98,34.65
GOVERNMENT,264.17,287.86,300.37,281.66,7,8,9,10,283.51,5.83,422.61
RESIDENT,15.14,14.03,15.82,6.9,5,6,7,8,12.97,-2.75,1.28
RESIDENT,17.28,20.08,17.29,14.33,8,9,10,11,17.25,-0.98,18.48
PUBLIC_SERVICE,63.0,66.31,62.43,67.64,8,9,10,11,64.84,1.55,50.18
ORGANIZATION,84.94,78.97,100.59,123.64,11,12,1,2,97.03,12.9,125.88
GOVERNMENT,206.75,163.86,214.25,174.88,5,6,7,8,189.94,-10.62,98.38
RESIDENT,13.54,16.62,12.04,8.09,7,8,9,10,12.57,-1.82,7.77
PUBLIC_SERVICE,153.7,168.09,135.94,126.11,6,7,8,9,145.96,-9.2,140.49
RESIDENT,13.67,18.45,17.76,21.92,4,5,6,7,17.95,2.75,17.15
RESIDENT,29.53,31.54,27.81,33.23,12,1,2,3,30.53,1.23,37.79
RESIDENT,16.7,18.18,11.18,15.14,5,6,7,8,15.3,-0.52,14.61
FACTORY,1762.26,1632.16,1790.41,1506.57,8,9,10,11,1672.85,-85.23,1620.24
RESIDENT,21.62,17.13,18.92,9.18,5,6,7,8,16.71,-4.15,6.73
RESIDENT,27.92,21.48,20.7,27.87,8,9,10,11,24.49,-0.02,23.54
RESIDENT,31.26,26.16,19.21,20.6,1,2,3,4,24.31,-3.55,35.75
RESIDENT,31.67,26.33,26.42,31.36,10,11,12,1,28.95,-0.1,31.09
RESIDENT,4.98,9.64,7.89,4.61,9,10,11,12,6.78,-0.12,9.63
RESIDENT,4.44,9.37,8.57,10.86,11,12,1,2,8.31,2.14,10.31
RESIDENT,50.35,36.18,35.59,35.43,3,4,5,6,39.39,-4.97,35.88
RESIDENT,22.77,18.35,15.5,10.14,6,7,8,9,16.69,-4.21,11.29
RESIDENT,12.83,22.14,17.77,20.45,4,5,6,7,18.3,2.54,17.34
RESIDENT,33.67,35.92,34.99,28.73,7,8,9,10,33.33,-1.65,26.73
FACTORY,1483.22,1243.13,1349.05,1204.45,7,8,9,10,1319.96,-92.92,1047.89
RESIDENT,16.5,19.6,22.17,23.77,11,12,1,2,20.51,2.42,23.81
GOVERNMENT,243.56,237.32,310.3,297.01,12,1,2,3,272.05,17.82,330.07
PUBLIC_SERVICE,132.79,128.82,150.18,147.81,12,1,2,3,139.9,5.01,144.8
RESIDENT,23.06,18.56,20.83,24.7,10,11,12,1,21.79,0.55,25.18
PUBLIC_SERVICE,68.4,61.53,51.93,20.81,7,8,9,10,50.67,-15.86,30.12
ORGANIZATION,110.39,78.12,118.1,96.78,11,12,1,2,100.85,-4.54,144.06
RESIDENT,31.28,29.49,32.74,29.96,11,12,1,2,30.87,-0.44,32.8
RESIDENT,12.51,14.17,2.56,2.48,7,8,9,10,7.93,-3.34,3.42
PUBLIC_SERVICE,101.95,125.23,142.48,118.99,4,5,6,7,122.16,5.68,115.82
RESIDENT,15.79,23.23,21.96,27.33,1,2,3,4,22.08,3.85,19.01
RESIDENT,28.38,22.42,31.22,29.64,12,1,2,3,27.91,0.42,38.23
GOVERNMENT,393.08,339.2,578.23,397.36,10,11,12,1,426.97,1.43,456.91
